Time,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total
2022-02-04 03:00:00,150622124.03,307489090.64,458111214.67,113038372.82,229652063.29,342690815.9,285328501.68,6480431852.05,6765760353.73
2022-02-04 04:00:00,92637023.89,276641977.54,369279001.43,70578524.47,197395494.5,267974399.4,184954491.7,5980722879.65,6165677371.35
2022-02-04 05:00:00,92572404.4,361541502.45,454113527.78,71151690.34,273527382.33,344679451.75,182152072.47,6049358016.27,6231510088.74
2022-02-04 06:00:00,70010959.59,243345362.71,313356322.3,54912084.67,183609280.18,238521364.86,145348708.44,6053803291.19,6199151999.63
2022-02-04 07:00:00,78200076.52,230022588.13,308223044.44,59899005.68,172442216.89,232341222.57,157168093.87,6194321330.28,6351489424.15
2022-02-04 08:00:00,139920705.61,673875357.18,813796062.79,108125566.07,527352240.99,635477807.06,272587858.33,7040647326.49,7313235184.82
2022-02-04 09:00:00,116204798.5,710043673.98,826248472.48,93216438.95,538049699.84,631266138.78,235923373.61,6963796915.94,7199720289.54
2022-02-04 10:00:00,262433058.3,2329216272.09,2591649725.5,206980344.61,1789859836.34,1996840180.95,507693780.59,10724300454.96,11231994630.66
2022-02-04 11:00:00,194545634.45,1535602955.76,1730148590.21,155302025.76,1208908815.23,1364210840.99,383786445.58,8785381944.82,9169168390.39
2022-02-04 12:00:00,100042676.76,709046921.02,809089597.78,84628630.89,546412131.25,631040762.13,218009134.19,5471271359.99,5689280494.18
2022-02-04 13:00:00,84088262.1,454843262.87,538931524.97,70408713.71,355220790.55,425629504.26,182069480.18,1484089470.77,1666158950.95
2022-02-04 14:00:00,86221205.66,499301008.75,585522214.41,71624413.54,377608909.47,449232915.47,181264796.12,1396065775.66,1577330571.78
2022-02-04 15:00:00,79974221.7,540756743.76,620730965.47,65559769.75,410680729.36,476240499.12,173221514.39,1444186783.16,1617408297.55
2022-02-04 16:00:00,68408701.77,288789858.05,357198559.81,55834911.82,224818892.76,280654211.08,151662296.69,971859005.22,1123521301.91
2022-02-04 17:00:00,74304415.18,246212790.77,320517205.95,61643900.13,183678135.73,245322035.86,166062745.67,879185667.39,1045248819.8
2022-02-04 18:00:00,128201807.15,753359100.69,881560907.84,102927357.53,560164901.03,663091842.66,260990612.89,1883903490.26,2144893687.25
2022-02-04 19:00:00,193129647.85,790888405.23,984018053.08,152698869.95,631375583.13,784074453.09,378918926,2074556366.17,2453475292.17
2022-02-04 20:00:00,94864744.72,345709728.66,440574473.38,77999414.66,261983331.26,339982745.92,199077818.98,1110611625.29,1309689444.28
2022-02-04 21:00:00,90229858.91,216768907.16,306998766.07,71562782.74,164642336.78,236205119.52,190722594.3,823141724.79,1013864319.09
2022-02-04 22:00:00,95813337.98,181401222.37,277214560.36,77067087.82,133695296.45,210762384.27,195322173.31,757941942.91,953264530.98
2022-02-04 23:00:00,132757632.81,277014814.16,409772446.97,104163106.64,204525669.74,308688361.47,263402146.81,1037250898.46,1300652630.36
2022-02-05 00:00:00,130097937.74,271326932.06,401424869.8,104708474.29,200046532.85,304754591.6,259284181.81,5549492623.95,5808776805.76
2022-02-05 01:00:00,121151547.75,258175674.23,379327221.98,99548727.24,187616206.15,287164933.39,240432191.08,6695246401.87,6935678592.95
2022-02-05 02:00:00,112745236.7,252962785.74,365708022.44,87501886.66,184874655.41,272376542.08,222902441.93,6538292302.42,6761194744.35
2022-02-05 03:00:00,88229136.82,286208178.73,374437315.54,69848878.76,219233988.58,289082867.34,175300021.28,7193370811.54,7368670832.82
2022-02-05 04:00:00,89597348.57,296706661.73,386304426.07,67436866.18,219336847.11,286773713.29,180267360.78,6856929547.72,7037196492.74
2022-02-05 05:00:00,67593704.89,267183388.02,334777092.91,52559200.32,191564098.02,244123298.35,138654638.92,6504681189.56,6643336244.47
2022-02-05 06:00:00,75474219.44,230185794.02,305660013.45,61256085.81,176358106.58,237614192.38,161474353.28,6341266448.09,6502740801.38
2022-02-05 07:00:00,86235872.45,208124022.6,294359895.05,65276782.65,153419758.75,218696541.4,171641399.01,6274266639.24,6445908038.25
2022-02-05 08:00:00,74783083.59,244066554.86,318849638.45,56237816.16,184504990.7,240742806.86,157523219.9,6396074406.29,6553598041.66
2022-02-05 09:00:00,89229328.57,339391480.84,428620809.41,68519771.63,246824886.32,315344242.98,180672573.31,6682413178.96,6863085752.27
2022-02-05 10:00:00,118938657.69,602699932.8,721638590.5,88806399.48,428256596.06,517063413.61,234111253.45,7371401496.13,7605512749.58
2022-02-05 11:00:00,121916902.52,475586700.4,597503602.91,93661862.56,340517444.53,434179307.09,243672654.61,6687661358.58,6931334013.2
2022-02-05 12:00:00,150387127.18,606427910.87,756815038.05,120769052.2,457697491.56,578466543.76,307414402.8,7847637956.97,8155051943.63
2022-02-05 13:00:00,75976790.74,222631188.52,298608396.29,63900056.61,160959316.25,224859372.87,170801610.6,6475340993.28,6646142603.89
2022-02-05 14:00:00,84023857.29,155411472.54,239435329.83,70039078.56,113052949.59,183092028.15,182036651.61,6559467504.51,6741504156.12
2022-02-05 15:00:00,60923911.12,187713436.28,248637347.4,49762981.72,138409779.51,188172761.23,135610064.73,6060560559.83,6196171041.37
2022-02-05 16:00:00,58096516.99,189448842.57,247545359.55,52330042.99,132909390.25,185239433.25,140863506.78,6424204620.78,6565068127.56
2022-02-05 17:00:00,54252104.68,135344557.84,189596662.52,45974391.89,99188973.29,145163365.18,126447993.42,4727273178.7,4853721172.12
2022-02-05 18:00:00,68068757.22,247249732.23,315318489.46,54852206.41,145350995.26,200203201.68,147127008.11,986976891.92,1134103900.03
2022-02-05 19:00:00,82748033.28,155323999.41,238072032.7,67902751.19,108265164.99,176167916.17,179533560.76,679077739.18,858611299.94
2022-02-05 20:00:00,95227197.12,138848691.78,234076305.24,78489379.85,101629718.23,180119098.08,199552319.28,678387455.89,877939775.17
2022-02-05 21:00:00,81818277.19,125077756.18,206896033.37,67055454.78,94918344.41,161973799.19,180396262.22,623819947.92,804216210.14
2022-02-05 22:00:00,67336965.52,100193482.38,167530447.9,54266699.45,76257598.41,130524297.86,143302546.56,610060372.47,753363333.83
2022-02-05 23:00:00,99027700.19,217652099.62,316679799.81,81442091.27,153073985.86,234516077.13,206600663.65,804031664.99,1010632328.64
2022-02-06 00:00:00,62478176.45,95255386.82,157733979.37,49686359.54,67903318.23,117589261.67,134615751.69,580654947.76,715270699.45
2022-02-06 01:00:00,63978930.4,126421241.7,190400172.1,49121627.74,92659998.67,141781626.41,130041109.87,641308089.24,771349199.12
2022-02-06 02:00:00,67059177.08,193178249.06,260237426.13,54181349.15,145629506.14,199810855.28,138180476.61,781308350.71,919488827.32
2022-02-06 03:00:00,74108528.73,155274774.42,229383303.16,58924059.5,110066042.06,168990101.56,149849993.28,713808840.88,863658834.16
2022-02-06 04:00:00,69521402.08,121879166.24,191400568.32,53775981.43,85216812.14,138992793.56,141098239.82,4107490186.69,4248588843.26
2022-02-06 05:00:00,67646358.54,123748453.04,191394811.58,53777681.81,88322689.61,142100371.42,138792441.36,6313211362.65,6452003804
2022-02-06 06:00:00,57638072.39,114616526.74,172254183.76,46225600.31,83885719.75,130111320.05,125358996.37,5962422052.81,6087781049.18
2022-02-06 07:00:00,65406628.54,148127449.93,213533662.1,51279306.41,106867591.79,158147314.56,135292113.66,6090884807.79,6226176921.45
2022-02-06 08:00:00,71161357.66,316236353.48,387397711.14,58260785.06,229731000.2,287991785.25,149812374.36,7084485175.98,7234297550.34
2022-02-06 09:00:00,154283681.59,696760148.87,851043830.47,122922213.38,520502698.26,643424911.64,299915937.93,7150865936.85,7450781874.78
2022-02-06 10:00:00,126974783.3,371100243.13,498075026.43,98906144.2,280165047.41,379071607.02,254909171.09,6376635822.97,6631544994.06
2022-02-06 11:00:00,84412330.49,236461725.68,320874472.96,65802738.91,170668989.91,236471312.02,174751104.62,6386068346.02,6560819450.64
2022-02-06 12:00:00,60120921.97,174437282.39,234558204.37,47437211.3,127385183.76,174821978.27,129954268.69,5691837255.29,5821791523.98
2022-02-06 13:00:00,56330383.85,150500372.46,206830756.31,45910060.25,108867670.23,154777730.48,121896189.62,6074232975.81,6196129165.42
2022-02-06 14:00:00,61747097.01,135933947.73,197680627.29,48516709.27,100714416.81,149231126.09,132941727.78,5507925960.44,5640867688.22
2022-02-06 15:00:00,79064581.62,146326535.83,225391117.46,61801434.46,111156628.25,172957646.67,160805129.95,5730045180.31,5890850310.26
2022-02-06 16:00:00,55995516.68,120653631.84,176649148.52,45795225.71,91903075.26,137698300.97,125360079.69,6408561334.84,6533921414.53
2022-02-06 17:00:00,46049010.09,118493619.78,164542629.86,36270796.33,86979151.08,123249947.41,106757432.34,6063188895.6,6169946327.94
2022-02-06 18:00:00,126322818.44,925096518.05,1051419336.49,99581793.94,700786188.17,800367982.1,258456561.17,7744717703.93,8003174265.1
2022-02-06 19:00:00,118670410.58,621449289.3,740119699.89,96495829.97,479900914.69,576396744.66,245639070.66,7534216430.96,7779855501.62
2022-02-06 20:00:00,79653413.3,432982782.72,512636196.02,65865811.34,323204885.47,389070696.81,172755226.84,7159918005.1,7332672810.58
2022-02-06 21:00:00,107180853.16,634513921.71,741694774.87,86889457.88,468079143.65,554968601.53,223752779.29,5590758612.74,5814511392.03
2022-02-06 22:00:00,109741774.01,572658991.51,682400765.53,86429556.53,431647919.73,518077047.56,221217206.38,1818905985.26,2040123191.64
2022-02-06 23:00:00,101950628.73,388310056.36,490260685.1,80024559.49,298930368.28,378954927.77,209200082.54,1172668605.28,1381868687.82
2022-02-07 00:00:00,107676804.19,449472552.47,557149356.67,84075915.95,333671112.1,417746599.79,217006287.26,1279548614.15,1496554901.41
2022-02-07 01:00:00,108258663.15,272532546.72,380791209.87,85230877.85,199141644.41,284372522.26,211810948.87,891287665.75,1103098614.62
2022-02-07 02:00:00,93340242.21,255944965.54,349285207.76,72630990.73,188136653.79,260767644.51,185436432.54,901326496.5,1086762929.03
2022-02-07 03:00:00,99859954.64,295785765.49,395645720.13,79837654.28,219061326.94,298898554.87,200667687.78,1010342961.12,1211011075.25
2022-02-07 04:00:00,109856651.86,375928440.37,485785092.24,88100480.29,284764452.03,372864932.31,225620406.16,1159425296.91,1385045703.07
2022-02-07 05:00:00,83767706.43,261036725.31,344804005.8,69016514.26,198221061.59,267238001.79,172308508.83,916062579.01,1088371087.84
2022-02-07 06:00:00,89729018.28,301272321.2,391001767.1,72233756.21,233512336.94,305746093.15,189080366.54,972185880.32,1161266246.87
2022-02-07 07:00:00,92737335.75,326112084.47,418849420.21,72111112.72,245005008.85,317116548.39,188823455.71,1035955316.77,1224778772.48
2022-02-07 08:00:00,96222258.13,335290791.69,431513049.83,75927531.14,241923651.06,317851182.2,196045974.5,2951968274.15,3148014248.64
2022-02-07 09:00:00,156607096.21,1021203158.64,1177810254.85,124047630.51,770289453.25,894337083.76,304326790.57,7742697452.4,8047024242.96
2022-02-07 10:00:00,195284970.69,978658537.34,1173943946.86,153450133.91,753598867.54,907049001.45,377056812.08,7523111860.77,7900168672.85
2022-02-07 11:00:00,173715138.09,931160253.74,1104874953.65,142318349.46,686683593.27,829001942.73,348242670.06,7759435521.04,8107678191.1
2022-02-07 12:00:00,132790207.48,586563574.89,719353782.37,108710253.37,425023270.4,533733523.76,270783327.61,6706524313.8,6977307641.41
