time,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume,high,low,open,close,volumefrom,volumeto
2022-12-19 10:00:00,17422177.3,433675171.42,451097348.72,8782944.71,303308103.0,312091047.71,1052781327.99,453196345.97,1505977840.67,38454.03,16738.1,16669.87,16722.87,16671.94,2889.13,48264816.24
2022-12-19 11:00:00,23936418.06,650072790.68,674009042.39,13435102.73,482866039.43,496301142.16,1019952582.22,686648316.19,1706600898.42,58769.04,16693.67,16596.83,16671.94,16635.22,5279.58,87863303.92
2022-12-19 12:00:00,26084075.17,719804809.55,745888884.72,15560509.17,546207220.3,561767729.47,1189544745.35,768861887.22,1958406632.56,63170.64,16645.97,16539.28,16635.22,16599.47,5329.76,88406422.45
2022-12-19 13:00:00,25944885.69,496429164.24,522374049.93,13976978.74,356061816.96,370038795.7,1165568191.15,528802616.42,1694370642.14,48133.24,16628.99,16539.78,16599.47,16543.74,3884.33,64450839.34
2022-12-19 14:00:00,19831298.84,453475898.83,473307197.67,9797869.06,309899904.1,319697773.16,1170449054.79,481629129.04,1652078183.83,41897.7,16580.1,16534.63,16543.74,16553.81,3279.66,54292854.19
2022-12-19 15:00:00,16921800.45,344269910.73,361191711.18,7726475.89,238930889.67,246657365.57,1067315725.75,362231689.23,1429547414.98,31104.47,16608.21,16541.58,16553.81,16597.16,3213.27,53274989.97
2022-12-19 16:00:00,18795928.91,363873473.92,382669568.69,8332092.8,253955925.86,262287852.81,1234664162.93,384394799.68,1619058796.76,31336.32,16635.24,16584.38,16597.16,16585.57,3133.91,52042786.83
2022-12-19 17:00:00,35834953.8,893848348.99,929683302.79,22230577.43,710526768.66,732757346.09,928537244.5,983589224.9,1912126469.4,82625.05,16601.71,16350.32,16585.57,16407.42,7531.53,123812771.85
2022-12-19 18:00:00,27985464.15,496639015.73,524624479.88,15999492.38,362083390.03,378082882.41,1023110349.78,535051839.59,1558162189.37,44415.01,16450.59,16380.0,16407.42,16442.79,3746.75,61506054.91
2022-12-19 19:00:00,25113053.18,465881082.79,490994135.97,13025419.29,323948950.5,336974534.46,905504503.74,492770247.17,1398274750.92,43227.66,16476.13,16404.94,16442.79,16466.82,2840.25,46706523.59
