time,high,low,open,close,volumefrom,volumeto
2023-05-23 05:00:00,27342.15,27275.16,27335.84,27278.02,353.83,9661571.2
2023-05-23 06:00:00,27338.3,27260.8,27278.02,27331.94,344.44,9401401.27
2023-05-23 07:00:00,27352.47,27288.39,27331.94,27338.71,496.95,13579094.39
2023-05-23 08:00:00,27390.14,27249.48,27338.71,27287.62,796.9,21779321.13
2023-05-23 09:00:00,27312.85,27189.09,27287.62,27238.18,936.32,25521697.56
2023-05-23 10:00:00,27362.9,27235.9,27238.18,27326.29,1110.16,30321121.23
2023-05-23 11:00:00,27362.26,27298.04,27326.29,27326.61,656.82,17945937.35
2023-05-23 12:00:00,27332.8,27208.9,27326.61,27235.52,1132.25,30873767.93
2023-05-23 13:00:00,27276.35,27190.31,27235.52,27206.74,859.6,23398696.95
2023-05-23 14:00:00,27224.78,27127.81,27206.74,27142.85,1063.76,28899530.19
2023-05-23 15:00:00,27225.9,27111.72,27142.85,27191.66,875.09,23782766.16
2023-05-23 16:00:00,27251.1,27157.03,27191.66,27220.32,595.88,16208916.72
2023-05-23 17:00:00,27244.53,27188.32,27220.32,27202.09,461.91,12567951.51
2023-05-23 18:00:00,27225.76,27180.99,27202.09,27200.95,386.95,10527122.3
2023-05-23 19:00:00,27257.32,27197.5,27200.95,27224.7,240.52,6549088.07
2023-05-23 20:00:00,27225.89,27132.6,27224.7,27163.61,508.69,13825998.66
2023-05-23 21:00:00,27190.24,27138.16,27163.61,27140.09,505.88,13741136.67
2023-05-23 22:00:00,27176.85,27118.58,27140.09,27167.57,260.31,7069751.64
2023-05-23 23:00:00,27169.3,26689.9,27167.57,26793.46,2730.27,73400785.37
2023-05-24 00:00:00,26816.28,26722.43,26793.46,26812.14,757.24,20269733.04
2023-05-24 01:00:00,26830.26,26709.99,26812.14,26783.66,920.93,24647466.14
2023-05-24 02:00:00,26783.94,26634.87,26783.66,26706.86,859.79,22969869.96
2023-05-24 03:00:00,26759.99,26661.59,26706.86,26685.62,764.18,20413774.88
2023-05-24 04:00:00,26760.39,26676.03,26685.62,26752.55,372.26,9949825.75
2023-05-24 05:00:00,26832.21,26744.27,26752.55,26756.05,774.29,20743032.41
2023-05-24 06:00:00,26770.33,26719.89,26756.05,26732.33,439.36,11746647.77
2023-05-24 07:00:00,26762.47,26691.53,26732.33,26744.44,965.09,25784803.87
2023-05-24 08:00:00,26744.73,26675.95,26744.44,26701.87,720.35,19239758.52
2023-05-24 09:00:00,26714.26,26308.48,26701.87,26451.2,2970.13,78712211.7
2023-05-24 10:00:00,26451.71,26164.23,26451.2,26260.31,3807.34,100156596.19
2023-05-24 11:00:00,26379.86,26092.06,26260.31,26320.95,3587.78,94117853.99
2023-05-24 12:00:00,26333.61,26169.87,26320.95,26242.31,1540.6,40415823.56
2023-05-24 13:00:00,26360.57,26171.05,26242.31,26282.18,1746.8,45891588.18
2023-05-24 14:00:00,26323.56,26215.28,26282.18,26220.5,1544.9,40576524.17
2023-05-24 15:00:00,26391.85,26204.41,26220.5,26250.37,2120.52,55748271.76
2023-05-24 16:00:00,26485.8,26239.36,26250.37,26401.03,1761.47,46443268.09
2023-05-24 17:00:00,26459.23,26313.89,26401.03,26364.79,678.01,17897569.8
2023-05-24 18:00:00,26406.55,26311.77,26364.79,26348.42,879.18,23173622.48
2023-05-24 19:00:00,26388.86,26322.66,26348.42,26326.17,620.85,16360254.7
2023-05-24 20:00:00,26383.41,26201.92,26326.17,26237.29,878.52,23095065.87
2023-05-24 21:00:00,26309.6,25882.27,26237.29,26124.41,2859.91,74448816.99
2023-05-24 22:00:00,26146.44,26049.6,26124.41,26122.9,590.89,15422546.09
2023-05-24 23:00:00,26218.66,26122.9,26122.9,26182.67,701.06,18353003.77
2023-05-25 00:00:00,26257.79,26149.08,26182.67,26223.57,426.39,11174950.01
2023-05-25 01:00:00,26273.44,26212.71,26223.57,26259.7,304.59,7994386.62
2023-05-25 02:00:00,26291.48,26218.86,26259.7,26253.64,430.15,11294510.72
2023-05-25 03:00:00,26258.34,26122.73,26253.64,26128.48,639.42,16743139.5
2023-05-25 04:00:00,26252.54,26128.21,26128.48,26225.9,538.5,14105048.77
2023-05-25 05:00:00,26281.83,26222.7,26225.9,26281.83,462.26,12133619.38
2023-05-25 06:00:00,26297.78,26220.29,26281.83,26249.58,490.4,12873112.04
2023-05-25 07:00:00,26324.66,26208.87,26249.58,26295.46,710.64,18660470.79
2023-05-25 08:00:00,26463.13,26290.14,26295.46,26403.75,1823.07,48143132.31
2023-05-25 09:00:00,26435.82,26268.32,26403.75,26341.4,1286.59,33913909.18
2023-05-25 10:00:00,26418.45,26290.42,26341.4,26362.39,1532.26,40384578.07
2023-05-25 11:00:00,26387.67,26172.18,26362.39,26225.11,1561,41002985.97
2023-05-25 12:00:00,26318.1,26208.23,26225.11,26277.84,1332.14,34984687.62
2023-05-25 13:00:00,26392.76,26254.03,26277.84,26351.29,1194.18,31447202.9
2023-05-25 14:00:00,26405.87,26328.2,26351.29,26374.18,1079.61,28471655.17
2023-05-25 15:00:00,26605.5,26367.12,26374.18,26471.62,1968.39,52152735.58
2023-05-25 16:00:00,26521.65,26461.03,26471.62,26491.96,720.2,19076456.49
2023-05-25 17:00:00,26492.08,26442.95,26491.96,26479.35,501.85,13280960.99
2023-05-25 18:00:00,26482.6,26437.17,26479.35,26460.86,346.68,9172360.11
2023-05-25 19:00:00,26553.72,26456.66,26460.86,26480.21,606,16059864.6
2023-05-25 20:00:00,26508.18,26399.56,26480.21,26473.09,590.11,15614936.27
2023-05-25 21:00:00,26539.62,26367.72,26473.09,26422.16,957.4,25319037.36
2023-05-25 22:00:00,26448.93,26389.82,26422.16,26408.83,263.08,6951886.87
2023-05-25 23:00:00,26467.83,26400.75,26408.83,26440.79,299.31,7912544.56
